id,idi,speech_part
1,0,'noun_male'
2,1,'noun_male'
3,2,'verb_transitive_imperfective'
4,3,'noun_male'
5,4,'noun_male'
6,6,'noun_male'
7,7,'noun_male'
8,8,'noun_male'
9,9,'noun_male'
10,10,'noun_male'
11,11,'noun_male'
12,12,'noun_male'
13,13,'noun_male'
14,14,'noun_male'
15,15,'noun_male'
16,16,'noun_male'
17,17,'noun_male'
18,19,'noun_male'
19,20,'noun_male'
20,21,'noun_male'
21,22,'noun_male'
22,23,'noun_male'
23,24,'noun_male'
24,25,'noun_male'
25,26,'noun_male'
26,27,'noun_male'
27,28,'noun_male'
28,29,'noun_male'
29,30,'noun_male'
30,31,'noun_male'
31,32,'noun_male'
32,33,'noun_male'
33,34,'noun_male'
34,35,'noun_male'
35,36,'noun_male'
36,37,'noun_male'
37,38,'noun_male'
38,39,'noun_male'
39,40,'noun_male'
40,41,'noun_male'
41,42,'noun_male'
42,43,'noun_male'
43,44,'noun_male'
44,45,'noun_male'
45,46,'noun_male'
46,47,'noun_male'
47,48,'noun_male'
48,49,'noun_male'
49,51,'noun_male'
50,52,'noun_male'
51,53,'noun_male'
52,54,'noun_male'
53,55,'noun_male'
54,56,'noun_male'
55,57,'noun_male'
56,58,'noun_male'
57,59,'noun_male'
58,60,'noun_male'
59,61,'noun_male'
60,62,'noun_male'
61,64,'noun_male'
62,65,'noun_male'
63,66,'noun_male'
64,67,'noun_male'
65,68,'noun_male'
66,69,'noun_male'
67,70,'noun_male'
68,71,'noun_male'
69,72,'noun_male'
70,73,'noun_male'
71,74,'noun_male'
72,75,'noun_male'
73,76,'noun_male'
74,77,'noun_male'
75,78,'noun_male'
76,79,'noun_male'
77,80,'noun_male'
78,81,'noun_male'
79,82,'noun_male'
80,NULL,'noun_male'
81,83,'noun_female'
82,84,'noun_female'
83,85,'noun_female'
84,86,'noun_female'
85,87,'noun_female'
86,88,'noun_female'
87,89,'noun_female'
88,90,'noun_female'
89,91,'noun_female'
90,92,'noun_female'
91,93,'noun_female'
92,94,'noun_female'
93,95,'noun_female'
94,96,'noun_female'
95,97,'noun_female'
96,98,'noun_female'
97,99,'noun_female'
98,100,'noun_female'
99,101,'noun_female'
100,102,'noun_female'
101,103,'noun_female'
102,104,'noun_female'
103,105,'noun_female'
104,106,'noun_female'
105,107,'noun_female'
106,108,'noun_female'
107,109,'noun_female'
108,110,'noun_female'
109,111,'noun_female'
110,112,'noun_neutral'
111,113,'noun_neutral'
112,114,'noun_neutral'
113,115,'noun_neutral'
114,116,'noun_neutral'
115,117,'noun_neutral'
116,118,'noun_neutral'
117,119,'noun_neutral'
118,120,'noun_neutral'
119,122,'noun_neutral'
120,123,'noun_neutral'
121,124,'noun_neutral'
122,125,'noun_neutral'
123,126,'noun_neutral'
124,127,'noun_neutral'
125,129,'noun_neutral'
126,130,'noun_neutral'
127,131,'noun_neutral'
128,132,'noun_neutral'
129,133,'noun_neutral'
130,134,'noun_neutral'
131,135,'noun_neutral'
132,136,'noun_neutral'
133,137,'noun_plurale-tantum'
134,138,'noun_plurale-tantum'
135,455,'noun_neutral'
136,139,'adjective'
137,140,'adjective'
138,141,'adjective'
139,143,'adjective'
140,144,'adjective'
141,145,'adjective'
142,149,'adjective'
143,150,'adjective'
144,151,'adjective'
145,152,'adjective'
146,153,'adjective'
147,154,'adjective'
148,155,'adjective'
149,156,'adjective'
150,157,'adjective'
151,158,'adjective'
152,159,'adjective'
153,160,'adjective'
154,161,'adjective'
155,162,'adjective'
156,163,'adjective'
157,164,'adjective'
158,165,'adjective'
159,166,'adjective'
160,NULL,'pronominal_personal'
161,NULL,'pronominal_personal'
162,NULL,'pronominal_personal'
163,NULL,'pronominal_personal'
164,NULL,'pronominal_personal'
165,NULL,'pronominal_personal'
166,NULL,'pronominal_personal'
167,NULL,'pronominal_personal'
168,NULL,'pronominal_demonstrative'
169,NULL,'pronominal_demonstrative'
170,NULL,'pronominal_demonstrative'
171,NULL,'pronominal_demonstrative'
172,NULL,'pronominal_demonstrative'
173,NULL,'pronominal_demonstrative'
174,NULL,'pronominal_demonstrative'
175,NULL,'pronominal_demonstrative'
176,NULL,'pronominal_possessive'
177,NULL,'pronominal_possessive'
178,NULL,'pronominal_possessive'
179,NULL,'pronominal_possessive'
180,NULL,'pronominal_possessive'
181,NULL,'pronominal_possessive'
182,NULL,'pronominal_possessive'
183,NULL,'pronominal_possessive'
184,NULL,'pronominal_interrogative'
185,NULL,'pronominal_interrogative'
186,NULL,'pronominal_interrogative'
187,NULL,'pronominal_interrogative'
188,NULL,'pronominal_relative'
189,NULL,'pronominal_relative'
190,NULL,'pronominal_relative'
191,NULL,'pronominal_indefinite'
192,NULL,'pronominal_indefinite'
193,NULL,'pronominal_indefinite'
194,NULL,'pronominal_negative'
